obs_id,species_id,location_id,time_id,edible,observation_count,media_count
9098770,9,197,149,,1,1
9109764,9,198,150,,1,1
9109946,4,199,151,,1,1
9109948,4,200,151,,1,1
9163334,9,201,152,,1,1
9180023,40,202,153,1.0,1,1
9218009,40,203,44,1.0,1,1
9267101,9,204,154,,1,1
9291251,36,205,144,,1,1
9293450,9,206,155,,1,1
9307295,38,207,156,,1,1
9307342,9,208,156,,1,1
9320008,9,209,154,,1,1
9320010,18,210,154,,1,1
9320011,9,210,154,,1,1
9336247,6,211,157,,1,1
9336251,2,212,157,,1,1
9336320,14,213,157,,1,1
9336340,39,214,157,,1,1
9336375,38,215,157,,1,1
9336486,9,216,157,,1,1
9337492,58,217,158,,1,1
9337495,59,217,158,,1,1
9337499,10,218,157,0.0,1,1
9366114,38,219,148,,1,1
9366714,2,220,148,,1,1
9396442,18,221,159,,1,1
9419812,59,222,160,,1,1
9438249,40,223,161,1.0,1,1
9438250,40,224,161,1.0,1,1
9459297,60,225,162,,1,1
9469774,9,226,163,,1,1
9509813,18,227,164,,1,1
9509849,36,228,164,,1,1
9519512,6,229,159,,1,1
9530923,61,230,165,,1,1
9568121,29,231,166,,1,1
9568148,29,231,166,,1,1
9643708,40,232,167,1.0,1,1
9716382,57,233,168,,1,1
9716397,29,234,169,,1,1
9716607,62,235,69,,1,1
9716643,57,234,170,,1,1
9717710,39,234,171,,1,1
9809445,9,236,172,,1,1
9835781,4,237,173,,1,1
9880611,4,238,97,,1,1
9898325,39,239,174,,1,1
9898454,57,240,93,,1,1
9922292,36,241,175,,1,1
9936313,9,242,176,,1,1
9981113,18,243,177,,1,1
9981186,9,244,178,,1,1
9981216,4,245,177,,1,1
10023311,9,246,179,,1,1
10082488,9,247,180,,1,1
10082491,4,247,180,,1,1
10095951,36,248,181,,1,1
10289510,9,249,182,,1,1
10306928,4,250,183,,1,1
10323311,4,251,184,,1,1
10324015,9,252,184,,1,1
10324147,18,253,184,,1,1
10324150,18,254,184,,1,1
10324457,9,255,184,,1,1
10339477,63,256,185,,1,1
10343594,40,257,185,1.0,1,1
10357315,64,258,186,,1,0
10362409,46,259,186,1.0,1,1
10396554,38,260,187,,1,1
10396572,65,260,188,,1,1
10397905,30,261,189,,1,1
10412028,9,262,190,,1,1
10429530,29,263,191,,1,1
10452925,66,264,192,,1,1
10473024,30,265,193,,1,1
10473201,9,266,172,,1,1
10488712,40,267,155,1.0,1,1
10533361,9,268,194,,1,1
10559849,9,269,195,,1,1
10570725,67,270,44,,1,1
10573787,18,271,196,,1,1
10574062,9,272,44,,1,1
10579398,68,273,158,,1,1
10669597,69,274,158,,1,1
10680570,3,275,197,,1,1
10704423,9,276,198,,1,1
10704436,9,277,198,,1,1
10729762,18,278,199,,1,1
10738604,30,279,200,,1,1
10776827,5,280,198,,1,1
10850831,4,281,201,,1,1
10869089,1,282,197,,1,1
10918808,18,283,202,,1,1
10918865,18,284,202,,1,1
11107981,9,285,203,,1,1
11177047,9,286,204,,1,1
11217258,39,287,205,,1,1
11310117,36,288,206,,1,1
11310144,9,289,207,,1,1
11315865,29,290,208,,1,1
11336525,9,291,208,,1,1
11353118,9,292,209,,1,1
11356714,18,293,210,,1,1
11372077,53,294,210,,1,1
11482785,46,295,210,1.0,1,1
11585633,36,296,211,,1,1
11712032,32,297,212,,1,1
11785548,4,298,212,,1,1
11930489,6,299,213,,1,1
11931324,12,300,214,,1,1
11985513,5,301,215,,1,1
11999149,1,302,215,,1,1
12125111,36,303,216,,1,1
